Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,
s.prop40,,,,,eVar40,
s.prop41,,,,,eVar41,
s.prop42,,,,,eVar42,
s.prop43,,,,,eVar43,
s.prop44,,,,eVar44,,
s.prop45,,,,,,
s.prop46,,,,,,
s.prop47,,,eVar47,,,
s.prop48,,,,,,
s.prop49,,,,,,
s.prop50,,,,,,
s.prop51,,,,,,
s.prop52,,,,,,
s.prop53,,,,,,
s.prop54,,,,,,
s.prop55,,,,,,
s.prop56,,,,,,
s.prop57,,,,,,
s.prop58,,,,,,
s.prop59,,,,,,
s.prop60,,,,,,
s.prop61,,,,,,
s.prop62,,,,,,
s.prop63,,,,,,
s.prop64,,,,,,
s.prop65,,,,,,
s.prop66,,,,,,
s.prop67,,,,,,
s.prop68,,,,,,
s.prop69,,,,,,
s.prop70,,,,,,
s.prop71,,,,,,
s.prop72,,,,,,
s.prop73,,,,,,
s.prop74,,,,,,
s.prop75,,,,,,
s.hier1,,,,,,
s.hier2,,,,,,
s.hier3,,,,,,
s.hier4,,,,,,
s.hier5,,,,,,
s.products,,,,,,
s.purchaseID,,,,,,
s.campaign,,,,,,
s.eVar1,s.pagename,s.pagename,s.pagename,s.pagename,s.pageName,
s.eVar2,,,,,,
s.eVar3,s.prop3,s.prop3,s.prop3,s.prop3,prop3,
s.eVar4,s.channel,s.channel,s.channel,s.channel,s.channel,
s.eVar5,s.prop5,s.prop5,s.prop5,s.prop5,prop5,
s.eVar6,s.prop6,s.prop6,s.prop6,s.prop6,prop6,
s.eVar7,s.prop7,s.prop7,s.prop7,s.prop7,prop7,
s.eVar8,s.prop8,s.prop8,s.prop8,s.prop8,prop8,
s.eVar9,s.prop9,s.prop9,s.prop9,s.prop9,prop9,
s.eVar10,,,,,,
s.eVar11,s.prop11,s.prop11,s.prop11,s.prop11,prop11,
s.eVar12,s.prop12,s.prop12,s.prop12,s.prop12,prop12,
s.eVar13,s.prop13,s.prop13,s.prop13,s.prop13,prop13,
s.eVar14,s.prop14,s.prop14,s.prop14,s.prop14,prop14,
s.eVar15,,,,,,
s.eVar16,,,,,,
s.eVar17,,,,,,
s.eVar18,,,,,,
s.eVar19,s.prop19,s.prop19,s.prop19,s.prop19,prop19,
s.eVar20,,,,,,
s.eVar21,,,s.prop21,s.prop21,prop21,
s.eVar22,,,,,,
s.eVar23,,,,,,
s.eVar24,,,,,,
s.eVar25,,,,,,
s.eVar26,,,,,,
s.eVar27,,,,,,
s.eVar28,,,,,,
s.eVar29,,,,,,
s.eVar30,,,,,,
s.eVar31,,,,,,
s.eVar32,,,,,,
s.eVar33,,,,,,
s.eVar34,,,,,,
s.eVar35,,,,,,
s.eVar36,,,,,,
s.eVar37,,,,,,
s.eVar38,,,,,,
s.eVar39,,,,,,
s.eVar40,,,,,prop40,
s.eVar41,,,,,prop41,
s.eVar42,,,,,prop42,
s.eVar43,,,,,prop43,
s.eVar44,,,,s.prop44,,
s.eVar45,,,,,,
s.eVar46,,,,,,
s.eVar47,,,s.prop47,,,
s.eVar48,,,,,,
s.eVar49,,,,,,
s.eVar50,,,,,,
s.eVar51,,,,,,
s.eVar52,,,,,,
s.eVar53,,,,,,
s.eVar54,,,,,,
s.eVar55,,,,,,
s.eVar56,,,,,,
s.eVar57,,,,,,
s.eVar58,,,,,,
s.eVar59,,,,,,
s.eVar60,,,,,,
s.eVar61,,,,,,
s.eVar62,,,,,,
s.eVar63,,,,,,
s.eVar64,,,,,,
s.eVar65,,,,,,
s.eVar66,,,,,,
s.eVar67,,,,,,
s.eVar68,,,,,,
s.eVar69,,,,,,
s.eVar70,,,,,,
s.eVar71,,,,,,
s.eVar72,,,,,,
s.eVar73,,,,,,
s.eVar74,,,,,,
s.eVar75,,,,,,
,,,,,,
s.state,,,,,,
s.zip,,,,,,
,,,,,,
