Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
"s.events=""event61""",,,Find Your Lens Completes,ISG: Step Skipped,,,
"s.events=""event62""",,Checkout: Try at Home: Start,Out of Stock Product Result,ISG: Interaction,,,
"s.events=""event63""",,Checkout: Try at Home: Completion,Find Your Look Page Prints,Find In Store,,,
"s.events=""event64""",,,Lens Simulator Starts,ISG: Started,,,
"s.events=""event65""",,,Lens Simulator Completes,ISG: Step 2,,,
"s.events=""event66""",,,Form Error,ISG: Step 3,,,
"s.events=""event67""",,,Form Success,ISG: Step 4,,,
"s.events=""event68""",,,FYL - Gender,ISG: Step 5,,,
"s.events=""event69""",,,FYL - Style you Admire,ISG: Step 6,,,
"s.events=""event70""",,,FYL - Room you Prefer,ISG: Completed,,,
"s.events=""event71""",,,FYL - Wear during Free Time,Onsite Search: Redirect,,,
"s.events=""event72""",,,FYL - Wear during Special Occasions,Gift Card Used,,,
"s.events=""event73""",,,FYL - Weekend Activity,Multiple Gift Cards Used,,,
"s.events=""event74""",,,FYL - Shoes in Closet,Store Locator (Serialized),,,
"s.events=""event75""",,,FYL - Necklace,Compare,,,
"s.events=""event76""",,,FYL - Bag,Add to cart - PDP Page,,,
"s.events=""event77""",,,FYL - Eyewear Collection,Add to cart - CareKit,,,
"s.events=""event78""",,,FYL - Face Shape,PDP Zoom,,,
"s.events=""event79""",,,FYL - Recommendations,PDP Video,,,
"s.events=""event80""",,,QA Variable,Add to Wishlist (Serialized),,,
"s.events=""event81""",,,FYL - Print Recommendations,,,,
"s.events=""event82""",,,Contact Us,,Contact Us,,
"s.events=""event83""",,,,,Store Locator: Eye Exam click-thru,,
"s.events=""event84""",,,Chat,,,,
"s.events=""event85""",,,,,View Doctor Info and Hours,,
"s.events=""event86""",,,,,View Store Hours,,
"s.events=""event87""",,,,,Get Directions,,
"s.events=""event88""",,,In Store Look-ups,,Set Preferred Store,,
"s.events=""event89""",,,,,Special Offers Opt-in,,
"s.events=""event90""",,,,,Product Refinement De-Select,,
"s.events=""event91""",,,E-spot Impression,,,,
"s.events=""event92""",,,OL Start Survey,,,,
"s.events=""event93""",,,OL Finish Survey,,,,
"s.events=""event94""",,,OL Overall Score,,,,
"s.events=""event95""",,,,,,,
"s.events=""event96""",,,First Last Name Click,,,,
"s.events=""event97""",,,Login Button Click,,,,
"s.events=""event98""",,,myAccount Perks View,,,,
"s.events=""event99""",,,FYL Reco Email Clicks,,,,
"s.events=""event100""",,,,,,,
s.pageName,Page Name,Page Name,Page Name,Page Name,Page Name,,
s.channel,Site Section,Site Section,Site Section,Site Section,Site Section,,
s.server,Server,Server,Server,Server,Server,,
s.pageType,Error Page,Error Page,Error Page,Error Page,Error Page,,
s.prop1,Appointment Scheduler: Previous Exam,Appointment Scheduler: Previous Exam,Appointment Scheduler: Previous Exam,,Appointment Scheduler: Previous Exam,,
s.prop2,Appointment Scheduler: Contact Fitting,Appointment Scheduler: Contact Fitting,Appointment Scheduler: Contact Fitting,,Appointment Scheduler: Contact Fitting,,
s.prop3,Time Parting,Time Parting,Time Parting,Time Parting,Time Parting,,
s.prop4,,Product Refinement,Product Refinement,Product Refinement,Product Refinement,,
s.prop5,Site Subsection,Site Subsection,Site Subsection,Site Subsection,Site Subsection,,
s.prop6,Site Sub-subsection,Site Sub-subsection,Site Sub-subsection,Site Sub-subsection,Site Sub-subsection,,
s.prop7,Days Since Last Visit,Days Since Last Visit,Days Since Last Visit,Days Since Last Visit,Days Since Last Visit,,
s.prop8,New vs. Repeat,New vs. Repeat,New vs. Repeat,New vs. Repeat,New vs. Repeat,,
s.prop9,Visit Number,Visit Number,Visit Number,Visit Number,Visit Number,,
s.prop10,,Percent of Page Viewed,Percent of Page Viewed,Percent of Page Viewed,Percent of Page Viewed,,
s.prop11,Logged-In Status,Logged-In Status,Logged-In Status,Logged-In Status,Logged-In Status,,
s.prop12,Site Version,Site Version,Site Version,Site Version,Site Version,,
s.prop13,Site Country,Site Country ,Site Country,Site Country,Site Country,,
s.prop14,Site Language,Site Language,Site Language,Site Language,Site Language,,
s.prop15,Appointment Scheduler: Date,Appintment Scheduler: Date,Appointment Scheduler: Date,,Appointment Scheduler: Date,,
s.prop16,Appointment Scheduler: Days in Advance,Appointment Scheduler: Days in Advance,Appointment Scheduler: Days in Advance,,Appointment Scheduler: Days in Advance,,
s.prop17,Appointment Scheduler: Time,Appointment Scheduler: Time,Appointment Scheduler: Time,,Appointment Scheduler: Time,,
s.prop18,,,Content Type,Content Type,Content Type,,
s.prop19,Report Suite,Report Suite,Report Suite,Report Suite,Report Suite,,
s.prop20,,,,,,,
s.prop21,,,Previous Page Name,Previous Page Name,Previous Page Name,,
s.prop22,,,,,,,
s.prop23,,,,,,,
s.prop24,,,,,,,
s.prop25,,,,,,,
s.prop26,,,,,,,
s.prop27,,,,,,,
s.prop28,,,,,,,
s.prop29,,,,,,,
s.prop30,,,,,,,
s.prop31,,,,,,,
s.prop32,,,,,,,
s.prop33,,,,,,,
s.prop34,,,,,,,
s.prop35,,,,,,,
s.prop36,,,,,,,
s.prop37,,,,,,,
s.prop38,,,,,,,
s.prop39,,,,,,,
s.prop40,Store Locator: First Scheduler Placement,,,,Click Action,,
s.prop41,,,Form Error,Landing Page: External Campaign ID,Product List Page Results Count,,
s.prop42,,,Brand Stacking,Stock Status,User Feature,,
s.prop43,,,,,User Feature Descriptor,,
s.prop44,,,,ISG: Selected Steps,Pathing per Event,,
s.prop45,,,Days in Advance + Time of Day,,,,
s.prop46,,,,,,,
s.prop47,,,Shopping Tool Uses,,,,
s.prop48,,,,,,,
s.prop49,,,,,,,
s.prop50,,,,,Percent Viewed - Max then Initial Percent Viewed,,
s.prop51,,,,,Percent Viewed - Device Orientation,,
s.prop52,,,FYL Value - Pathing,,Percent Viewed - View Port Height,,
s.prop53,,,,,Percent Viewed - Verticle Pixels Viewed,,
s.prop54,,,,,,,
s.prop55,,,,,,,
s.prop56,,,,,,,
s.prop57,,,,,,,
s.prop58,,,,,,,
s.prop59,,,,,,,
s.prop60,,,,,,,
s.prop61,,,Site Navigation,,,,
s.prop62,,,,,,,
s.prop63,,,,,,,
s.prop64,,,,,,,
s.prop65,,,,,,,
s.prop66,,,,,,,
s.prop67,,,,,,,
s.prop68,,,,,,,
s.prop69,,,,,,,
s.prop70,,,,,,,
s.prop71,,,,,,,
s.prop72,,,,,,,
s.prop73,,,,,,,
s.prop74,,,,,,,
s.prop75,,,,,,,
s.hier1,,,,,Page Name Hierarchy,,
s.hier2,,,,,,,
s.hier3,,,,,,,
s.hier4,,,,,,,
s.hier5,,,,,,,
s.products,,Products,Products,Products,Products,,
s.purchaseID,,Purchase ID,Purchase ID,Purchase ID,Purchase ID,,
s.campaign,External Campaigns,External Campaigns,External Campaigns,External Campaigns,External Campaigns,,
s.eVar1,Page Name,Page Name,Page Name,Page Name,Page Name,,
s.eVar2,Visitor DMA,Visitor DMA,Visitor DMA,Visitor DMA,Visitor DMA,,
s.eVar3,Time Parting,Time Parting,Time Parting,Time Parting,Time Parting,,
s.eVar4,Site Section,Site Section ,Site Section,Site Section,Site Section,,
s.eVar5,Site Subsection,Site Subsection,Site Subsection,Site Subsection,Site Subsection,,
s.eVar6,Site Sub-subsection,Site Sub-subsection,Site Sub-subsection,Site Sub-subsection,Site Sub-subsection,,
s.eVar7,Days Since Last Visit,Days Since Last Visit,Days Since Last Visit,Days Since Last Visit,Days Since Last Visit,,
s.eVar8,New vs. Repeat,New vs. Repeat,New vs. Repeat,New vs. Repeat,New vs. Repeat,,
s.eVar9,Visit Number,Visit Number,Visit Number,Visit Number,Visit Number,,
s.eVar10,Internal Campaigns,Internal Campaigns,Internal Campaigns,Internal Campaigns,Internal Campaigns,,
s.eVar11,Logged-In Status,Logged-In Status,Logged-In Status,Logged-In Status,Logged-In Status,,
s.eVar12,Site Version,Site Version,Site Version,Site Version,Site Version,,
s.eVar13,Site Country,Site Country,Site Country,Site Country,Site Country,,
s.eVar14,Site Language,Site Language,Site Language,Site Language,Site Language,,
