Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,Sears Optical,
"s.events=""event65""",,,On Completion of 'Lens Simulator',On 'step 2' of ISG,,,,
"s.events=""event66""",,,On Form Error,On 'step 3' of ISG,,,,
"s.events=""event67""",,,On Form Submission,On 'step 4' of ISG,,,,
"s.events=""event68""",,,,On 'step 5' of ISG,,,,
"s.events=""event69""",,,,On 'step 6' of ISG,,,,
"s.events=""event70""",,,,On results page of ISG,,,,
"s.events=""event71""",,,,On product page after keyword search,,,,
"s.events=""event72""",,,,On purchase confirmation page,,,,
"s.events=""event73""",,,,On purchase confirmation page,,,,
"s.events=""event74""",,,,,,,,
"s.events=""event75""",,,,,,,,
"s.events=""event76""",,,,,,,,
"s.events=""event77""",,,,,,,,
"s.events=""event78""",,,,,,,,
"s.events=""event79""",,,,,,,,
"s.events=""event80""",,,,,,,,
"s.events=""event81""",,,,,,,,
"s.events=""event82""",,,On submit of the 'contact us',,On submit of the 'contact us',,,
"s.events=""event83""",,,,,Click of store locator result,,,
"s.events=""event84""",,,,,,,,
"s.events=""event85""",,,,,On load of doctor detail page,,,
"s.events=""event86""",,,,,On load of store detail page,,,
"s.events=""event87""",,,,,On click of 'get directions' CTA's,,,
"s.events=""event88""",,,OnClick of in store look-ups,,On successful selection of preferred store,,,
"s.events=""event89""",,,,,On opt-in of special offers typically at registration,,,
"s.events=""event90""",,,,,On click of turning off a filter,,,
"s.events=""event91""",,,On page load with E-spots e.g. homepage. Set with s.products=[e-spot],,On page load with E-spots e.g. homepage. Set with s.products=[e-spot],,,
"s.events=""event92""",,,,,,,,
"s.events=""event93""",,,,,,,,
"s.events=""event94""",,,,,,,,
"s.events=""event95""",,,,,,,,
"s.events=""event96""",,,,,,,,
"s.events=""event97""",,,,,,,,
"s.events=""event98""",,,,,,,,
"s.events=""event99""",,,,,,,,
"s.events=""event100""",,,,,,,,
s.pageName,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.channel,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.server,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.pageType,Error Pages,Error Pages,Error Pages,Error Pages,Error Pages,,,
s.prop1,Scheduler Confirmation Page,Scheduler Confirmation Page,Scheduler Confirmation Page,,Scheduler Confirmation Page,,,
s.prop2,Scheduler Confirmation Page,Scheduler Confirmation Page,Scheduler Confirmation Page,,Scheduler Confirmation Page,,,
s.prop3,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.prop4,,On page load after refinement,On page load after refinement,On page load after refinement,On page load after refinement,,,
s.prop5,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.prop6,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.prop7,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.prop8,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.prop9,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.prop10,,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.prop11,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.prop12,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.prop13,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.prop14,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.prop15,Scheduler Confirmation Page,Scheduler Confirmation Page,Scheduler Confirmation Page,,Scheduler Confirmation Page,,,
s.prop16,Scheduler Confirmation Page,Scheduler Confirmation Page,Scheduler Confirmation Page,,Scheduler Confirmation Page,,,
s.prop17,Scheduler Confirmation Page,Scheduler Confirmation Page,Scheduler Confirmation Page,,Scheduler Confirmation Page,,,
s.prop18,,,All Pages,All Pages,All Pages,,,
s.prop19,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.prop20,,,,,,,,
s.prop21,,,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.prop22,,,,,,,,
s.prop23,,,,,,,,
s.prop24,,,,,,,,
s.prop25,,,,,,,,
s.prop26,,,,,,,,
s.prop27,,,,,,,,
s.prop28,,,,,,,,
s.prop29,,,,,,,,
s.prop30,,,,,,,,
s.prop31,,,,,,,,
s.prop32,,,,,,,,
s.prop33,,,,,,,,
s.prop34,,,,,,,,
s.prop35,,,,,,,,
s.prop36,,,,,,,,
s.prop37,,,,,,,,
s.prop38,,,,,,,,
s.prop39,,,,,,,,
s.prop40,On locator results page,,,,On click actions,,,
s.prop41,,,On Form Pages,,Product List Pages,,,
s.prop42,,,On PDP pages,,site feature usage,,,
s.prop43,,,,,site feature usage,,,
s.prop44,,,,On next page load,conversion events,,,
s.prop45,,,,,,,,
s.prop46,,,,,,,,
s.prop47,,,On PDP pages,,,,,
s.prop48,,,,,,,,
s.prop49,,,,,,,,
s.prop50,,,,,Automatically set in the s_code,,,
s.prop51,,,,,Automatically set in the s_code,,,
s.prop52,,,,,Automatically set in the s_code,,,
s.prop53,,,,,Automatically set in the s_code,,,
s.prop54,,,,,,,,
s.prop55,,,,,,,,
s.prop56,,,,,,,,
s.prop57,,,,,,,,
s.prop58,,,,,,,,
s.prop59,,,,,,,,
s.prop60,,,,,,,,
s.prop61,,,,,Site Navigation,,,
s.prop62,On Balihoo pages,,,,,,,
s.prop63,,,,,,,,
s.prop64,,,,,,,,
s.prop65,,,,,,,,
s.prop66,,,,,,,,
s.prop67,,,,,,,,
s.prop68,,,,,,,,
s.prop69,,,,,,,,
s.prop70,,,,,,,,
s.prop71,,,,,,,,
s.prop72,,,,,,,,
s.prop73,,,,,,,,
s.prop74,,,,,,,,
s.prop75,,,,,,,,
s.hier1,,,,,All Pages,,,
s.hier2,,,,,,,,
s.hier3,,,,,,,,
s.hier4,,,,,,,,
s.hier5,,,,,,,,
s.products,,On product detail pages,On product detail pages,On product detail pages,On product detail pages,,,
s.purchaseID,,Order Confirmation Page,Order Confirmation Page,Order Confirmation Page,Order Confirmation Page,,,
s.campaign,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar1,All Pages,All Pages,All Pages,All Pages,All Pages,,,
