Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
s.prop35,,,N,,N,,
s.prop36,,,N,,N,,
s.prop37,,,N,,N,,
s.prop38,,,N,,N,,
s.prop39,,,N,,N,,
s.prop40,Y - Custom action call not implemented ,,N,,Y,,
s.prop41,,,Y,N,Y,,
s.prop42,,,Y,N,Y,,
s.prop43,,,N,,Y,,
s.prop44,,,N,N,Y,,
s.prop45,,,Y,,N,,
s.prop46,,,N,,N,,
s.prop47,,,Y,,N,,
s.prop48,,,N,,N,,
s.prop49,,,N,,N,,
s.prop50,,,N,,Y,,
s.prop51,,,N,,Y,,
s.prop52,,,Y,,Y,,
s.prop53,,,N,,Y,,
s.prop54,,,N,,N,,
s.prop55,,,N,,N,,
s.prop56,,,N,,N,,
s.prop57,,,N,,N,,
s.prop58,,,N,,N,,
s.prop59,,,N,,N,,
s.prop60,,,N,,N,,
s.prop61,,,Y,,N,,
s.prop62,Y - This is grandfathered in,,N,,N,,
s.prop63,,,N,,N,,
s.prop64,,,N,,N,,
s.prop65,,,N,,N,,
s.prop66,,,N,,N,,
s.prop67,,,N,,N,,
s.prop68,,,N,,N,,
s.prop69,,,N,,N,,
s.prop70,,,N,,N,,
s.prop71,,,N,,N,,
s.prop72,,,N,,N,,
s.prop73,,,N,,N,,
s.prop74,,,N,,N,,
s.prop75,,,N,,N,,
s.hier1,,,N,,Y,,
s.hier2,,,N,,N,,
s.hier3,,,N,,N,,
s.hier4,,,N,,N,,
s.hier5,,,N,,N,,
s.products,,N,Y,N,Y,,
s.purchaseID,,N,Y,N,Y,,
s.campaign,Y,N,Y,N,Y,,
s.eVar1,Y,N,Y,N,Y,,
s.eVar2,Y,N,Y,N,Y,,
s.eVar3,Y,N,Y,N,Y,,
s.eVar4,Y,N,Y,N,Y,,
s.eVar5,Y,N,Y,N,Y,,
s.eVar6,Y,N,Y,N,Y,,
s.eVar7,Y,N,Y,N,Y,,
s.eVar8,Y,N,Y,N,Y,,
s.eVar9,Y,N,Y,N,Y,,
s.eVar10,Y,N,Y,N,Y,,
s.eVar11,Y,N,Y,N,Y,,
s.eVar12,Y,N,Y,N,Y,,
s.eVar13,Y,N,Y,N,Y,,
s.eVar14,Y,N,Y,N,Y,,
s.eVar15,Y - Custom action call not implemented ,N,Y,N,Y,,
s.eVar16,Y,N,Y,,Y,,
