Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
"s.events=""event65""",,,"s.events=""event65""","s.events=""event65""",,,
"s.events=""event66""",,,"s.events=""event66""","s.events=""event66""",,,
"s.events=""event67""",,,"s.events=""event67""","s.events=""event67""",,,
"s.events=""event68""",,,"s.events=""event68""","s.events=""event68""",,,
"s.events=""event69""",,,"s.events=""event69""","s.events=""event69""",,,
"s.events=""event70""",,,"s.events=""event70""","s.events=""event70""",,,
"s.events=""event71""",,,"s.events=""event71""","s.events=""event71""",,,
"s.events=""event72""",,,"s.events=""event72""","s.events=""event72""",,,
"s.events=""event73""",,,"s.events=""event73""","s.events=""event73""",,,
"s.events=""event74""",,,"s.events=""event74""",,,,
"s.events=""event75""",,,"s.events=""event75""",,,,
"s.events=""event76""",,,"s.events=""event76""",,,,
"s.events=""event77""",,,"s.events=""event77""",,,,
"s.events=""event78""",,,"s.events=""event78""",,,,
"s.events=""event79""",,,"s.events=""event79""",,,,
"s.events=""event80""",,,"s.events=""event80""",,"s.events=""event80""",,
"s.events=""event81""",,,"s.events=""event81""",,,,
"s.events=""event82""",,,"s.events=""event82""",,"s.events=""event82""",,
"s.events=""event83""",,,,,"s.events=""event83""",,
"s.events=""event84""",,,"s.events=""event84""",,,,
"s.events=""event85""",,,,,"s.events=""event85""",,
"s.events=""event86""",,,,,"s.events=""event86""",,
"s.events=""event87""",,,,,"s.events=""event87""",,
"s.events=""event88""",,,"s.events=""event88""",,"s.events=""event88""",,
"s.events=""event89""",,,,,,,
"s.events=""event90""",,,,,,,
"s.events=""event91""",,,"s.events=""event91""",,,,
"s.events=""event92""",,,"s.events=""event92""",,,,
"s.events=""event93""",,,"s.events=""event93""",,,,
"s.events=""event94""",,,"s.events=""event94""",,,,
"s.events=""event95""",,,,,,,
"s.events=""event96""",,,"s.events=""event96""",,,,
"s.events=""event97""",,,"s.events=""event97""",,,,
"s.events=""event98""",,,"s.events=""event98""",,,,
"s.events=""event99""",,,"s.events=""event99""",,,,
"s.events=""event100""",,,,,,,
