Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,,,
s.prop3,getTimeParting Plugin,getTimeParting Plugin,getTimeParting Plugin,getTimeParting Plugin,getTimeParting Plugin,,,,
s.prop4,,,,,,,,,
s.prop5,,,,,,,,,
s.prop6,,,,,,,,,
s.prop7,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,,,,
s.prop8,getNewRepeat Plugin,getNewRepeat Plugin,getNewRepeat Plugin,"Grandfathered In
getNewRepeat Plugin",getNewRepeat Plugin,,,,
s.prop9,getVisitNumber Plugin,getVisitNumber Plugin,getVisitNumber Plugin,"Grandfathered In
getNewRepeat Plugin",getVisitNumber Plugin,,,,
s.prop10,,,,Grandfathered In,,,,,
s.prop11,,,,,,,,,
s.prop12,,,,,,,,,
s.prop13,,,,,,,,,
s.prop14,,,,,,,,,
s.prop15,,,,,,,,,
s.prop16,,,,,,,,,
s.prop17,,,,,,,,,
s.prop18,,,,Grandfathered In,,,,,
s.prop19,,,not enabled,,,,,,
s.prop20,,,not enabled,Grandfathered In,not enabled,,,,
s.prop21,,,,,,,,,
s.prop22,,,not enabled,,not enabled,,,,
s.prop23,,,not enabled,,not enabled,,,,
s.prop24,,,not enabled,,not enabled,,,,
s.prop25,,,not enabled,,not enabled,,,,
s.prop26,,,not enabled,,not enabled,,,,
s.prop27,,,not enabled,,not enabled,,,,
s.prop28,,,not enabled,,not enabled,,,,
s.prop29,,,not enabled,,not enabled,,,,
s.prop30,,,not enabled,,not enabled,,,,
s.prop31,,,not enabled,,not enabled,,,,
s.prop32,,,not enabled,,not enabled,,,,
s.prop33,,,not enabled,,not enabled,,,,
s.prop34,,,not enabled,,not enabled,,,,
s.prop35,,,not enabled,,not enabled,,,,
s.prop36,,,not enabled,,not enabled,,,,
s.prop37,,,not enabled,,not enabled,,,,
s.prop38,,,not enabled,,not enabled,,,,
s.prop39,,,not enabled,,not enabled,,,,
s.prop40,,,not enabled,,,,,,
s.prop41,,,,Grandfathered In,,,,,
s.prop42,,,,Grandfathered In,,,,,
s.prop43,,,not enabled,,,,,,
s.prop44,,,not enabled,,,,,,
s.prop45,,,,,not enabled,,,,
s.prop46,,,not enabled,,not enabled,,,,
s.prop47,,,,,not enabled,,,,
s.prop48,,,not enabled,,not enabled,,,,
s.prop49,,,not enabled,,not enabled,,,,
s.prop50,,,not enabled,,,,,,
s.prop51,,,not enabled,,,,,,
s.prop52,,,,,,,,,
s.prop53,,,not enabled,,,,,,
s.prop54,,,not enabled,,not enabled,,,,
s.prop55,,,not enabled,,not enabled,,,,
s.prop56,,,not enabled,,not enabled,,,,
s.prop57,,,not enabled,,not enabled,,,,
s.prop58,,,not enabled,,not enabled,,,,
s.prop59,,,not enabled,,not enabled,,,,
s.prop60,,,not enabled,,not enabled,,,,
s.prop61,,,,,,,,,
s.prop62,,,not enabled,,not enabled,,,,
s.prop63,,,not enabled,,not enabled,,,,
s.prop64,,,not enabled,,not enabled,,,,
s.prop65,,,not enabled,,not enabled,,,,
s.prop66,,,not enabled,,not enabled,,,,
s.prop67,,,not enabled,,not enabled,,,,
s.prop68,,,not enabled,,not enabled,,,,
s.prop69,,,not enabled,,not enabled,,,,
s.prop70,,,not enabled,,not enabled,,,,
s.prop71,,,not enabled,,not enabled,,,,
s.prop72,,,not enabled,,not enabled,,,,
s.prop73,,,not enabled,,not enabled,,,,
s.prop74,,,not enabled,,not enabled,,,,
s.prop75,,,not enabled,,not enabled,,,,
s.hier1,,,not enabled,,,,,,
s.hier2,,,not enabled,,not enabled,,,,
s.hier3,,,not enabled,,not enabled,,,,
s.hier4,,,not enabled,,not enabled,,,,
s.hier5,,,not enabled,,not enabled,,,,
s.products,,,,,,,,,
s.purchaseID,,,,,,,,,
s.campaign,getQueryParam,getQueryParam,getQueryParam,"Grandfathered In
getQueryParam",getQueryParam,,,,
s.eVar1,,,,Grandfathered In,,,,,
