SearsOptical.com Tag Specs,3/27/15,Site_Events,Global Variables,,,,,,,,,,,,,,,Page/Event Specific Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page - Element,Request Type,,page[level_1],page[level_2],page[level_3],page[level_4],page[level_n],layout_type,"banner_impressions[n][""banner_id""]","banner_impressions[n][""banner_size""]","banner_clicked[""banner_id""]","banner_clicked[""banner_size""]",authentication_status,country,language_code,products_viewed[n],favorite_products[n],zip_code,brand,customer_lead_id,customer_lead_level,customer_lead_type,"exams[n][""exam_id""]","exams[n][""exam_date""]","exams[n][""exam_time""]","exams[n][stores[n][""avail_exam""]]","exams[n][stores[n][""store_id""]","exams[n][stores[n][""online_scheduling""]]","exams[n][stores[n][""address""]]","exams[n][stores[n][""city""]]","exams[n][stores[n][""state""]]","exams[n][stores[n][""zip""]]",filters.gender,filters.brand,filters.type,filters.price_range.min_price,filters.price_range.max_price,filters.color,filters.face_shape,filters.frame_shape,filters.fit,filters.materials,filters.special_offers,keyword,"products[n][""upc""]","products[n][""price""]","products[n][""brand""]","products[n][""style""]","products[n][""model""]",products_viewed[n],preferred_store,registration_status,resutls_count,"stores[n][""avail_exam""]","stores[n][""store_id""]","stores[n][""online_scheduling""]","stores[n][""address""]","stores[n][""city""]","stores[n][""state""]","stores[n][""zip""]","stores[n][""miles_from_customer""]","stores[n][""result_position""]","stores[n][""zip_method""]",
Product List Page,in-page interaction,select_product,<inherit from _dl>,<inherit from _dl>,,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,[gender],[brand(s)],[type(s)],<min price>,<max price>,[color(s)],[face shape(s)],[frame shape(s)],[fit(s)],[material(s)],[special offers],,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,initiate_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,add_to_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,add_to_compare,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,remove_from_compare,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product Details Page,Page Load,product_view,"<category e.g., mens or brands>","<product type e.g., eyeglasses or new arrivals>",product detail,<product name>,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],[<Add product to  array if viewed product does not already exist inside this array>],,,,,,,,,,,,,,
Product Details Page,In-page Interaction,add_to_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Eye Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care Category Landing Page,Page Load,,eye care,,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
